date,region,category,customer_segment,units,revenue
2025-06-01,Northeast,Apparel,Loyalty,6,256.72
2025-06-01,Northeast,Electronics,New,13,1177.93
2025-06-01,Northeast,Home,Returning,8,205.41
2025-06-01,Northeast,Outdoor,New,18,1079.76
2025-06-01,Northeast,Beauty,Loyalty,5,258.88
2025-06-01,Southeast,Apparel,Loyalty,9,313.1
2025-06-01,Southeast,Electronics,Loyalty,20,599.42
2025-06-01,Southeast,Home,New,10,469.61
2025-06-01,Southeast,Outdoor,New,25,696.72
2025-06-01,Southeast,Beauty,Loyalty,10,811.18
2025-06-01,Midwest,Apparel,Loyalty,5,335.45
2025-06-01,Midwest,Electronics,New,13,717.88
2025-06-01,Midwest,Home,Returning,8,831.81
2025-06-01,Midwest,Outdoor,Loyalty,13,1333.49
2025-06-01,Midwest,Beauty,Loyalty,18,576.26
2025-06-01,West,Apparel,New,15,732.18
2025-06-01,West,Electronics,Loyalty,20,1056.25
2025-06-01,West,Home,New,5,149.24
2025-06-01,West,Outdoor,Returning,14,787.99
2025-06-01,West,Beauty,Returning,24,1158.31
2025-06-02,Northeast,Apparel,Loyalty,22,674.94
2025-06-02,Northeast,Electronics,New,14,1123.75
2025-06-02,Northeast,Home,Returning,12,847.94
2025-06-02,Northeast,Outdoor,New,10,602.86
2025-06-02,Northeast,Beauty,Returning,22,2076.5
2025-06-02,Southeast,Apparel,Returning,18,854.05
2025-06-02,Southeast,Electronics,New,18,1651.72
2025-06-02,Southeast,Home,Returning,18,2042.47
2025-06-02,Southeast,Outdoor,Loyalty,5,210.68
2025-06-02,Southeast,Beauty,Loyalty,17,691.44
2025-06-02,Midwest,Apparel,Loyalty,18,1601.47
2025-06-02,Midwest,Electronics,Loyalty,23,1821.63
2025-06-02,Midwest,Home,Returning,24,1352.5
2025-06-02,Midwest,Outdoor,Loyalty,3,140.51
2025-06-02,Midwest,Beauty,New,4,372.56
2025-06-02,West,Apparel,Returning,16,1869.19
2025-06-02,West,Electronics,Loyalty,7,480.35
2025-06-02,West,Home,Loyalty,14,773.04
2025-06-02,West,Outdoor,New,6,283.82
2025-06-02,West,Beauty,Returning,18,376.62
2025-06-03,Northeast,Apparel,Loyalty,17,1788.59
2025-06-03,Northeast,Electronics,New,6,627.43
2025-06-03,Northeast,Home,Returning,13,465.48
2025-06-03,Northeast,Outdoor,New,11,571.18
2025-06-03,Northeast,Beauty,Returning,17,462.36
2025-06-03,Southeast,Apparel,New,11,537.96
2025-06-03,Southeast,Electronics,Loyalty,14,656.7
2025-06-03,Southeast,Home,Loyalty,4,333.08
2025-06-03,Southeast,Outdoor,Loyalty,17,1546.73
2025-06-03,Southeast,Beauty,New,6,706.27
2025-06-03,Midwest,Apparel,New,13,349.33
2025-06-03,Midwest,Electronics,Returning,16,901.34
2025-06-03,Midwest,Home,New,10,851.5
2025-06-03,Midwest,Outdoor,New,16,1499.95
2025-06-03,Midwest,Beauty,New,14,897.17
2025-06-03,West,Apparel,Loyalty,7,710.09
2025-06-03,West,Electronics,New,18,2074.37
2025-06-03,West,Home,Returning,4,394.72
